data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;latitude;longitude
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;13 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS.;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;180;180.0;NÃO;R RUBENS ROSA GUEDES;PAR;DECRESCENTE;LEITO DA VIA     ;-30.01207480935921;-51.13550727255643
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;12 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS.;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;226;226.0;NÃO;R MARACAIBO;PAR;DECRESCENTE;LEITO DA VIA     ;-30.01273906457523;-51.13559285178781
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;12 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;265;275.0;NÃO;R OSCAR ALLEM;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.01274603226371;-51.13563040271402
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;22 METROS - INTERIOR VERMELHO E BORDO BRANCO, ENTRE OS CANTEIROS.;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;347;289.0;NÃO;AV BISPO JOAO SCALABRINI;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.014084980648867;-51.13579561002553
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;80 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;410;458.0;NÃO;AV BISPO JOAO SCALABRINI;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;08 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;410;410.0;SIM;AV BISPO JOAO SCALABRINI;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;14 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS.;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;323;335.0;NÃO;R CONGONHAS;PAR;DECRESCENTE;LEITO DA VIA     ;-30.01338705751;-51.135643310844905
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;58 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;694;706.0;NÃO;R AZUL;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;58 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;705;729.0;NÃO;AV SENADOR DANIEL KRIEGER;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;13 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;106;140.0;NÃO;R COPERNICO;PAR;DECRESCENTE;LEITO DA VIA     ;-30.011390807643732;-51.13542814739049
